ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
2949113,Red-Pineapple Clothing,Fashion,Fashion,USD,12/08/2017,2160,14/07/2017 17:44,10,failed,1,US,0,10,2160
3075561,Last Chip Standing: Devil's Luck - A Game of Dice & Chance,Tabletop Games,Games,USD,05/03/2017,1000,03/02/2017 16:04,2346,successful,126,US,699,2346,1000
3175234,holiday stay allocator for families with infant/young kids,Web,Technology,USD,24/03/2017,50000,22/02/2017 01:23,1050,failed,2,US,0,1050,50000
3199115,Bill Mantlo & Butch Guice’s Swords of the Swashbucklers GN,Graphic Novels,Comics,USD,12/05/2017,9500,13/04/2017 19:45,55191,successful,816,US,435,55191,9500
3255370,I'm With Earth: A Campaign for the Planet by @ilovegurus,Apparel,Fashion,USD,21/05/2017,3000,21/04/2017 23:05,4609,successful,149,US,1056,4609,3000
3454078,The Last Monsters,Video Games,Games,USD,17/02/2017,7500,18/01/2017 16:11,10163,successful,208,US,4077,10163,7500
3587081,Messenger Enamel Pin,Art,Art,USD,10/07/2017,578,26/06/2017 18:00,1193,successful,52,US,415,1193,578
3625974,Anatomical Toys,Design,Design,USD,31/01/2017,50000,05/01/2017 01:17,7531,failed,100,US,700,7531,50000
3644136,OctoFit - The Ultimate Home Fitness Device & Workout Library,Product Design,Design,USD,19/12/2017,15000,14/11/2017 21:34,18057,successful,68,US,5029,18057,15000
3691283,Homage: The first website that honors and celebrates life!,Web,Technology,USD,21/10/2017,11000,03/10/2017 13:14,235,failed,7,US,80,235,11000
3700536,SPINPAL Stout | Hand Spinner and Pencil Topper Fidget Toy,Product Design,Design,USD,05/08/2017,1000,06/06/2017 13:52,4562,successful,188,US,2475,4562,1000
3803613,Make 100: Imaginary Collections,Graphic Design,Design,USD,08/02/2017,100,24/01/2017 20:01,1693,successful,72,US,696,1693,100
3899801,Emerald Blue,Graphic Novels,Comics,USD,01/12/2017,5000,02/10/2017 11:13,27,failed,4,US,21,27,5000
3972569,Bradley Putter Co: Wood Golf Putters Handmade on Main Street,Design,Design,USD,24/03/2017,10000,03/03/2017 18:52,13100,successful,72,US,180,13100,10000
3991938,blacklikeme.,Shorts,Film & Video,USD,24/06/2017,5000,30/05/2017 20:23,730,failed,8,US,220,730,5000
3992377,Project Happiness,Nonfiction,Publishing,USD,06/10/2017,15000,06/09/2017 00:02,15730,successful,67,US,2686,15730,15000
4098494,community project,DIY,Crafts,USD,24/03/2017,80000,22/02/2017 05:51,10,failed,1,US,0,10,80000
4174833,Self-Publish First Novel!,Journalism,Journalism,USD,29/05/2017,2000,30/03/2017 00:58,1,failed,1,US,0,1,2000
4201453,World's first portable production studio for your phone,Camera Equipment,Technology,USD,01/06/2017,20000,02/05/2017 18:17,49078,successful,185,US,0,49078,20000
4201557,Sushi Grips - revolutionary new mountain bike grips,Product Design,Design,USD,08/11/2017,57500,09/10/2017 15:19,8016,failed,120,US,1145,8016,57500
4216369,Bigfoot Research Zine,Zines,Publishing,USD,26/08/2017,400,27/07/2017 16:12,650,successful,28,US,75,650,400
4320723,Just Another RPG,Video Games,Games,USD,26/07/2017,15000,26/06/2017 23:49,2323,failed,31,US,1965,2323,15000
4320988,BROWN SUB WEB-SERIES,Drama,Film & Video,USD,02/02/2017,15000,29/12/2016 20:21,10,failed,1,US,10,10,15000
4326887,Happy Hedgie Creations - Kids Party Favors & Gifts,Crafts,Crafts,USD,17/02/2017,5000,18/01/2017 03:25,0,failed,0,US,0,0,5000
4459327,Ensemble Accendo - the Chamber Music of Robert Muczynski,Classical Music,Music,USD,21/01/2017,6000,22/12/2016 04:56,6082,successful,69,US,268,6082,6000
4465979,"""WHAT YOU MAKE OF IT""",Nonfiction,Publishing,USD,20/01/2017,1899,21/12/2016 16:37,64.99,failed,3,US,0,64.99,1899
4680602,Road to Sweet's Mill: West Coast Folk Music Revival,Publishing,Publishing,USD,26/05/2017,7700,26/04/2017 06:27,8786,successful,62,US,1256,8786,7700
4729376,Coelacanth Hard Enamel Pins,Accessories,Fashion,USD,30/08/2017,450,31/07/2017 19:03,2268,successful,83,US,0,2268,450
4817470,Pokemon Card Lighter Series 2,Video Games,Games,USD,29/11/2017,110,09/11/2017 18:56,40,failed,3,US,11,40,110
4969997,#ProjectSandy OpenSource SmartHome Linux Media Server,Technology,Technology,USD,19/03/2017,555,16/03/2017 00:19,11.11,failed,1,US,11.11,11.11,555
4995408,Illustrated 2018 Zodiac 12-Month Wall Calendar,Illustration,Art,USD,01/07/2017,1000,01/06/2017 13:47,1051,successful,29,US,113,1051,1000
5001951,Do MORE with M-PAKS,Product Design,Design,USD,25/01/2017,7500,26/12/2016 16:56,1340,failed,10,US,825,1340,7500
5025436,Great Job Pooping Banner,Crafts,Crafts,USD,30/03/2017,800,15/03/2017 19:23,1000,successful,22,US,660,1000,800
5028909,HeartIn: Unleash your Pro,Wearables,Technology,USD,31/05/2017,15000,01/05/2017 14:02,18137,successful,49,US,8654,18137,15000
5090092,TheAngryGay studios Delirium film funding,Horror,Film & Video,USD,08/10/2017,2500,16/08/2017 19:33,51,failed,2,US,0,51,2500
5135805,Sun Shade Garden Wizard,Technology,Technology,USD,01/07/2017,45000,01/06/2017 21:50,0,failed,0,US,0,0,45000
5144196,Popsuckette Theatre: Season Two!,Webseries,Film & Video,USD,22/11/2017,3000,23/10/2017 01:46,3264,successful,26,US,130,3264,3000
5330250,VASO to relax: Aroma Diffuser +Smart wake up &Natural sounds,Product Design,Design,USD,30/12/2017,3000,15/11/2017 14:59,36687,successful,596,US,14312,36687,3000
5446932,Frame.Today - Bring The Beauty of Instagram Into Your Home,Art,Art,USD,10/08/2017,2000,07/07/2017 04:24,2825,successful,41,US,1250,2825,2000
5489706,Friday the 13th / Nightmare on Elm Street iron-on patch,Embroidery,Crafts,USD,10/11/2017,200,11/10/2017 00:40,13,failed,1,US,0,13,200
5555212,Lukes' Soul Food Cafe: Give Our Delicious Soul Food a Home!,Restaurants,Food,USD,03/09/2017,10000,19/08/2017 08:28,1,failed,1,US,0,1,10000
5612008,Jellybean Shirts - Colorful clothing for board gamers!,Tabletop Games,Games,USD,03/06/2017,5000,09/05/2017 16:00,8009,successful,181,US,3312,8009,5000
6050195,eBrain - Full scale artificially intelligent software,Technology,Technology,USD,27/06/2017,2600,06/06/2017 06:49,525,failed,2,US,0,525,2600
6176961,Obsidian Eyes,Metal,Music,USD,07/04/2017,1300,08/03/2017 22:23,1745,successful,59,US,105,1745,1300
6301012,Untitled Comedy Series,Film & Video,Film & Video,USD,22/06/2017,8000,02/06/2017 23:41,525,failed,6,US,75,525,8000
6502393,SERPENT Series: Smallest And Coolest Electric Skateboards,Product Design,Design,USD,07/09/2017,30000,08/08/2017 14:52,158735,successful,487,US,53343,158735,30000
6680240,World Jumper,Fiction,Publishing,USD,02/03/2017,5000,31/01/2017 02:16,40,failed,2,US,20,40,5000
6729710,Raindrop,Hip-Hop,Music,USD,01/11/2017,1000,23/10/2017 22:49,110,failed,2,US,100,110,1000
6757749,"Ohi: Forest Guard ~ By Ryan ""Dim Arct"" Noriega",Video Games,Games,USD,29/01/2017,5000,30/12/2016 05:50,60,failed,2,US,0,60,5000
6824820,The Great White Tee,Apparel,Fashion,USD,17/08/2017,33000,17/07/2017 04:08,300,failed,4,US,0,300,33000
6953449,Texas Hold'em with ZOMBIES,Playing Cards,Games,USD,26/06/2017,7079,25/05/2017 20:35,11042,successful,131,US,1840,11042,7079
6969531,Five Smooth Stones CD Album,Music,Music,USD,17/12/2017,6428,17/11/2017 02:13,500,failed,5,US,225,500,6428
6975677,The Blood Hunter,Film & Video,Film & Video,USD,15/06/2017,8000,16/05/2017 20:27,8430,successful,34,US,125,8430,8000
7114468,The WiserWand Saves Water in the Garden & Helps Others,Product Design,Design,USD,22/05/2017,25000,14/04/2017 09:11,2365,failed,39,US,771,2365,25000
7121218,Rozzie and the Eco-Rescuers Comic Books by Rick Leonardi,Children's Books,Publishing,USD,30/11/2017,10750,31/10/2017 15:01,246,failed,10,US,75,246,10750
7167999,DogsWithSoul Food Truck,Food Trucks,Food,USD,13/01/2017,100000,14/11/2016 23:21,50,failed,1,US,0,50,100000
7177588,World's 1st Immersive Smart Capture Binoculars :: eyeQ,Gadgets,Technology,USD,16/11/2017,25000,17/10/2017 18:12,27510.3,successful,211,US,10421,27510.3,25000
7248534,My Pet Pail,Product Design,Design,USD,05/12/2017,25000,21/10/2017 01:28,1118,failed,14,US,0,1118,25000
7258913,Aesop's fables,Art,Art,USD,02/03/2017,1000,31/01/2017 23:20,55,failed,2,US,25,55,1000
7278640,Tabula Rasa: A colorful Pool/Bag Building Game of Champions!,Tabletop Games,Games,USD,16/11/2017,8750,17/10/2017 20:31,17216,successful,264,US,1822,17216,8750
7489587,Camp Odd Nature,Graphic Novels,Comics,USD,17/07/2017,4100,18/05/2017 17:50,45,failed,4,US,10,45,4100
7614035,Adventure Top Quilt: The Sleeping Un-Bag & Hammock Top Quilt,Product Design,Design,USD,17/06/2017,4000,16/05/2017 17:58,20379,successful,167,US,8402,20379,4000
7737672,Crimshaw's Debut Album: MONSTERS!,Rock,Music,USD,18/12/2017,5000,16/11/2017 14:43,5859,successful,51,US,1010,5859,5000
7758159,Luna - Handcrafted Art and Slowly Dimming Nightlight,Product Design,Design,USD,20/10/2017,100,05/10/2017 23:22,4107,successful,55,US,960,4107,100
7807763,The Ultamate Sweater,Wearables,Technology,USD,30/10/2017,10000,25/09/2017 19:44,12295,successful,93,US,272,12295,10000
7826680,Acorn the Autumn Pup Enamel Pin,Illustration,Art,USD,07/10/2017,425,05/09/2017 20:05,553,successful,15,US,120,553,425
7891625,From an atheist into a BELIEVER by Reggie Garland,Nonfiction,Publishing,USD,01/07/2017,1300,19/05/2017 06:56,30,failed,2,US,0,30,1300
7918988,YOU,Publishing,Publishing,USD,01/03/2017,8000,01/02/2017 14:59,10578,successful,639,US,4100,10578,8000
7924142,Blue Sky Blue's First Record!,Music,Music,USD,13/02/2017,3000,15/12/2016 00:00,3332,successful,52,US,495,3332,3000
7993237,Club Moon series focuses on 3 vampires and their fetish club,Fiction,Publishing,USD,02/09/2017,2800,03/08/2017 23:10,73,failed,2,US,33,73,2800
8098344,Bobcat Talisman Enamel Pin,Art,Art,USD,10/04/2017,600,20/03/2017 22:07,1027,successful,58,US,80,1027,600
8125359,Americano,Film & Video,Film & Video,USD,24/03/2017,5000,22/02/2017 04:57,5791,successful,85,US,50,5791,5000
8127092,Texas Youth Advocates Youth Facility,Architecture,Design,USD,21/08/2017,175000,22/06/2017 17:15,379,failed,8,US,100,379,175000
8143920,Music for cancer Fighters,World Music,Music,USD,15/02/2017,2500,16/01/2017 10:49,1,failed,1,US,0,1,2500
8289925,One of a Kind Craft Projects for Girls and Women,Glass,Crafts,USD,29/08/2017,1000,30/07/2017 03:23,1,failed,1,US,0,1,1000
8373898,FlowKicks- Future Legends Of The World,Fashion,Fashion,USD,16/02/2017,5000,17/01/2017 19:03,0,failed,0,US,0,0,5000
8483107,Custom 3D printed accessories for Scythe,Tabletop Games,Games,USD,01/09/2017,2500,31/07/2017 17:07,7613,successful,194,US,852,7613,2500
8543253,The Barton float generator,Technology,Technology,USD,15/01/2017,5000,16/12/2016 01:02,21,failed,2,US,21,21,5000
8658996,All Or Nothing.,Film & Video,Film & Video,USD,20/04/2017,1000,21/03/2017 18:01,1,failed,1,US,0,1,1000
8796907,The Tao of Social Justice and Progressive Resistance,Publishing,Publishing,USD,03/09/2017,1000,04/08/2017 13:31,51,failed,3,US,0,51,1000
8952550,Lansdowne Symphony American Romantics CD,Classical Music,Music,USD,21/12/2017,4000,19/11/2017 21:02,4414,successful,35,US,456,4414,4000
9047879,Kitty Vent - The Ultimate Litter Box Odor Eliminator,Technology,Technology,USD,22/06/2017,10000,08/05/2017 17:00,12592,successful,79,US,5357,12592,10000
9079170,Inspired by my daughter- Cancer sucks!,Apps,Technology,USD,06/08/2017,35000,07/07/2017 00:00,387,failed,8,US,117,387,35000
9170419,Diesel Demolition Derby,Tabletop Games,Games,USD,31/08/2017,10000,21/07/2017 00:57,26566,successful,787,US,14270,26566,10000
9576483,"Custom Official Sports Logo Rings - NCAA, NHL, NBA & NASCAR",Jewelry,Fashion,USD,24/02/2017,1000,25/01/2017 23:17,101,failed,3,US,0,101,1000
9629619,"Media, Motivational Tees, Hoodies, Neck ties and",Couture,Fashion,USD,07/10/2017,32000,21/09/2017 21:05,1,failed,1,US,0,1,32000
9638331,Fishstare Children's Board Book,Children's Books,Publishing,USD,03/03/2017,2500,30/01/2017 17:42,803,failed,29,US,31,803,2500
9716122,ESPY APPAREL | Modern Basics for the Female Traveler,Apparel,Fashion,USD,26/08/2017,26000,27/07/2017 17:51,9720,failed,93,US,2835,9720,26000
9732341,Flash Renegade: The Graphic Novel (Part 1-3),Graphic Novels,Comics,USD,12/03/2017,10500,07/02/2017 07:31,74,failed,6,US,57,74,10500
9829340,Friendr: Revolutionizing How We Make Friends Forever!,Apps,Technology,USD,10/07/2017,175000,20/06/2017 18:31,23,failed,2,US,0,23,175000
9835373,Nightfell Graphic Novel Volume One,Comics,Comics,USD,17/11/2017,500,18/10/2017 15:48,545,successful,38,US,236,545,500
9883014,Greyhounds and gas mask 2017 Presidential Inauguration trip,Photo,Journalism,USD,01/01/2017,500,22/11/2016 01:50,0,failed,0,US,0,0,500
9894904,BICYCLE CARDISTRY B/W - THE NEXT LEVEL IN DESIGN,Playing Cards,Games,USD,06/11/2017,1000,23/10/2017 19:03,10584,successful,236,US,5315,10584,1000
10004373,Bad Example (A Southern Trailer Park Fairy Tale) Indie Short,Shorts,Film & Video,USD,08/05/2017,1800,03/04/2017 23:25,22,failed,2,US,7,22,1800
10070457,Incpin Media,Publishing,Publishing,USD,19/03/2017,2500,17/02/2017 03:05,0,failed,0,US,0,0,2500
10201491,Traveling with Scrabble,Tabletop Games,Games,USD,01/07/2017,2000,30/05/2017 12:22,535,failed,5,US,103,535,2000
10317787,Buttons: The Game,Video Games,Games,USD,06/07/2017,3000,06/06/2017 09:58,51,failed,6,US,15,51,3000
10599172,Friends in Dark Places: A Mare Internum pin set,Accessories,Fashion,USD,25/08/2017,500,26/07/2017 04:01,8550,successful,206,US,2190,8550,500
10618465,Aion (e-on) The Smart Calendar,Web,Technology,USD,02/09/2017,250000,19/07/2017 20:28,0,failed,0,US,0,0,250000
10846481,Mini Monster Enamel Pins,Art,Art,USD,05/08/2017,600,06/07/2017 19:24,850,successful,11,US,0,850,600
10858233,Dustee Lampee,Crafts,Crafts,USD,21/01/2017,7000,06/01/2017 04:11,8511.11,successful,29,US,600,8511.11,7000
11174354,Safe networking online! Earn money or find love!,Web,Technology,USD,02/04/2017,3000,03/03/2017 20:40,7,failed,3,US,5,7,3000
11280589,"Jelly, The Smallest 4G Smartphone",Gadgets,Technology,USD,06/06/2017,30000,02/05/2017 16:59,1251380.03,successful,10964,US,67514,1251380.03,30000
11288587,"Jake Marlin Album ""The Whiskey Diaries""",Country & Folk,Music,USD,22/09/2017,5000,23/08/2017 00:33,40,failed,2,US,20,40,5000
11296448,Cache Venue,Musical,Theater,USD,04/12/2017,18500,20/10/2017 20:28,6800,failed,35,US,2085,6800,18500
11400761,Force Field Cloak: Defeats Children's Fear of The Dark,Product Design,Design,USD,06/10/2017,25000,06/09/2017 17:03,241635,successful,2406,US,4845,241635,25000
11406111,'WE THE PEOPLE' : A Conceptual Photo Book,Photobooks,Photography,USD,04/11/2017,25900,02/10/2017 02:15,7994,failed,98,US,0,7994,25900
11421058,Machine Gods: A handdrawn sidescrolling roguelite,Video Games,Games,USD,09/09/2017,1000,10/08/2017 22:27,321,failed,27,US,286,321,1000
11451403,The Aasgard Duffel,Product Design,Design,USD,30/10/2017,17965,26/09/2017 17:41,21189,successful,196,US,0,21189,17965
11597401,Stadium,Tabletop Games,Games,USD,15/02/2017,10000,01/02/2017 22:59,3830,failed,82,US,2995,3830,10000
11650874,Come Home - An Original Worship Album by Jeremiah Creiglow,Faith,Music,USD,01/06/2017,12000,01/05/2017 18:03,5330,failed,60,US,600,5330,12000
11678534,Upside Down Jacket Joggers: Street Art to Wear,Fashion,Fashion,USD,29/03/2017,30000,27/02/2017 17:18,457,failed,6,US,20,457,30000
11836744,The Missing Sock Project,Fashion,Fashion,USD,28/07/2017,50000,28/06/2017 03:12,4,failed,2,US,0,4,50000
12072968,Silver Spoon Personal Chef weekly meals and event catering!,Events,Food,USD,12/11/2017,15000,23/10/2017 00:34,310,failed,2,US,0,310,15000
12125690,PTSD and Suicide Saving Network App,Apps,Technology,USD,27/02/2017,10000,29/12/2016 17:35,31,failed,4,US,20,31,10000
12156576,Justice Angel Movie,Film & Video,Film & Video,USD,15/04/2017,9000,01/03/2017 18:08,526,failed,3,US,525,526,9000
12190819,Cora Ball - Microfiber Catching Laundry Ball,Design,Design,USD,25/04/2017,10000,28/03/2017 17:33,353461.23,successful,8635,US,45286.77,353461.23,10000
12226412,Kawaii Ice Cream Jellyfish,Crochet,Crafts,USD,21/09/2017,500,22/08/2017 17:56,669,successful,11,US,20,669,500
12517444,Stephen Vollaro's Eagle Scout Project (Southington CT),Woodworking,Crafts,USD,31/01/2017,150,02/12/2016 22:27,210,successful,10,US,35,210,150
12533993,YANAs in The Woods – Coloring book,Illustration,Art,USD,12/11/2017,5000,10/10/2017 18:09,557,failed,14,US,213,557,5000
12619232,Tresident Prump: SPACE ALIEN INVASION. Mobile game.,Mobile Games,Games,USD,23/08/2017,30000,24/07/2017 18:06,1,failed,1,US,0,1,30000
12649367,Schedule Magic: Do More of What Makes You Feel Alive,Nonfiction,Publishing,USD,21/11/2017,4000,19/10/2017 14:08,17141,successful,563,US,60,17141,4000
12689348,True Black: The Tarot Deck,Illustration,Art,USD,17/10/2017,25750,19/09/2017 22:09,148555,successful,1655,US,32478,148555,25750
12761727,I Want To Draw Your Pets & Favorite Animals!,Illustration,Art,USD,20/05/2017,200,10/05/2017 16:02,726,successful,41,US,228,726,200
12765261,Features from Kodak Black for my new album,Hip-Hop,Music,USD,18/08/2017,800,19/07/2017 02:03,0,failed,0,US,0,0,800
12856514,StarDust Adventure Deck- Oracle deck for kids of all ages!,Children's Books,Publishing,USD,25/04/2017,2300,28/03/2017 18:20,2695,successful,45,US,228,2695,2300
12883964,Rhythamatrix Blends Part 2,Jazz,Music,USD,23/03/2017,250,16/03/2017 21:34,0,failed,0,US,0,0,250
12933514,The Red Dragon Inn: Battle for Greyport - Pirates!,Tabletop Games,Games,USD,22/09/2017,35000,24/08/2017 21:26,51036,successful,1084,US,28770,51036,35000
13062299,Feminist at 15,Nonfiction,Publishing,USD,02/04/2017,500,03/03/2017 17:30,559,successful,18,US,0,559,500
13251869,What Do You Think?,Tabletop Games,Games,USD,04/12/2017,1250,04/11/2017 13:53,1835,successful,33,US,1450,1835,1250
13334345,Superhero Initiative - visiting sick kids in the hospital,Comics,Comics,USD,03/09/2017,5000,04/08/2017 23:55,1272,failed,14,US,0,1272,5000
13356862,My Vision through Lenses,Photography,Photography,USD,12/03/2017,2600,10/02/2017 04:05,0,failed,0,US,0,0,2600
13405423,Homemade Smoked Beef Jerky; tender steak with a kick!,Small Batch,Food,USD,03/10/2017,3000,13/09/2017 18:20,542,failed,12,US,40,542,3000
13447268,The Awakened: Modern,Anthologies,Publishing,USD,31/05/2017,1200,29/04/2017 18:08,2943,successful,132,US,1062,2943,1200
13504928,Swiss Movement Watches without the Luxury Markup,Product Design,Design,USD,17/12/2017,25000,16/11/2017 15:44,959437,successful,3597,US,503739,959437,25000
13586388,Track 9 - A Journey into Darkness,Fiction,Publishing,USD,01/03/2017,1200,30/01/2017 01:00,1210,successful,14,US,320,1210,1200
13606656,Finding Fabulous,Comedy,Film & Video,USD,29/03/2017,10500,28/01/2017 15:08,425,failed,6,US,250,425,10500
13662452,Tau Circle Constant Euro Magnets,Graphic Design,Design,USD,01/07/2017,2500,21/06/2017 19:18,210.72,failed,15,US,0,210.72,2500
13681396,LOOM,Performances,Dance,USD,01/10/2017,4000,01/09/2017 15:32,4000,successful,76,US,0,4000,4000
13755612,Universal Translator,Gadgets,Technology,USD,04/08/2017,100000,05/07/2017 18:15,22,failed,1,US,0,22,100000
13812213,Clothing for a cause. Doga Apparel donates10% to rescue dogs,Apparel,Fashion,USD,09/09/2017,1000,20/08/2017 04:59,75,failed,2,US,75,75,1000
13861907,/r/XWingTMG game templates,Gaming Hardware,Games,USD,06/04/2017,1500,15/03/2017 23:56,456,failed,13,US,210,456,1500
13874140,World’s Most Breathable & Comfortable Nontoxic Bra,Apparel,Fashion,USD,30/07/2017,200,20/07/2017 21:00,341,successful,6,US,208,341,200
14169111,Help Fund Dread Utopia's Debut EP,Metal,Music,USD,10/07/2017,5000,11/05/2017 17:41,45,failed,3,US,20,45,5000
14235325,"Concept forcible entry FIREFIGHTING TOOL. ""The Billy Goat""",Technology,Technology,USD,14/09/2017,8000,15/08/2017 01:15,1,failed,1,US,0,1,8000
14429096,problem solving for disabled veterans,Print,Journalism,USD,04/02/2017,5000,12/01/2017 22:46,10,failed,1,US,0,10,5000
14457556,the entrapment trilogy,Fantasy,Film & Video,USD,20/08/2017,1500,13/08/2017 16:15,0,failed,0,US,0,0,1500
14504899,Pill Mill (A Portable Pill Crusher For Those In Need),Hardware,Technology,USD,20/07/2017,100000,20/06/2017 17:03,22,failed,1,US,0,22,100000
14729652,Pen Palette,Design,Design,USD,18/02/2017,240,19/01/2017 23:35,756,successful,12,US,705,756,240
14850945,Full Quiet - A New Adventure Game for the NES & PC,Video Games,Games,USD,05/10/2017,5000,02/09/2017 02:03,32398.66,successful,509,US,4140,32398.66,5000
14855582,Fists of Fluff: A Samurai Retelling of the Tortoise and Hare,Children's Books,Publishing,USD,25/06/2017,8550,05/06/2017 07:52,1421,failed,31,US,173,1421,8550
14972541,Chic Luxury Watch Without the Markup- 3RD AND NEVINS WATCHES,Product Design,Design,USD,27/07/2017,5000,27/06/2017 15:14,7996,successful,55,US,3272,7996,5000
14982164,The Robin Hoodie,Apparel,Fashion,USD,09/03/2017,5000,07/02/2017 00:55,12425,successful,141,US,2610,12425,5000
15020215,The GreensGrower,Product Design,Design,USD,24/03/2017,10000,22/02/2017 22:55,231,failed,3,US,0,231,10000
15287484,"Backed By Camera makes backing trailers Simple, even Solo!",Gadgets,Technology,USD,27/08/2017,5000,28/07/2017 17:25,382,failed,6,US,121,382,5000
15384193,Single Fathers video... Cooking for their Kid(s),Food,Food,USD,05/01/2017,8000,06/12/2016 14:39,285,failed,5,US,40,285,8000
15408858,"""87 Sundays"" a True Story of Addiction, Recovery & Faith",Nonfiction,Publishing,USD,14/04/2017,3000,05/03/2017 05:19,3000,successful,23,US,150,3000,3000
15459537,Shizzle Fizzle Toilet Deodorizer,Product Design,Design,USD,09/08/2017,99000,10/07/2017 18:07,1,failed,1,US,1,1,99000
15573503,Savage Kitchen : Invasive Species Food Truck & App,Food Trucks,Food,USD,13/03/2017,30000,10/02/2017 08:45,30882,successful,192,US,3197,30882,30000
15582212,New Home for Chattanooga Aerials & Chattanooga Circus Center,Dance,Dance,USD,20/01/2017,5000,14/12/2016 01:48,6780,successful,80,US,715,6780,5000
15712097,The Evon Enamel Pin Preorder!,Accessories,Fashion,USD,13/08/2017,770,14/07/2017 23:30,236,failed,15,US,60,236,770
15776568,Curse-ive: The Adult Cursive Handwriting Book,Comedy,Publishing,USD,04/11/2017,5500,05/10/2017 04:07,1000,failed,38,US,655,1000,5500
15782187,Dear Denton - Local Screenpress T-shirt Shop,Apparel,Fashion,USD,01/06/2017,325,25/04/2017 00:06,400,successful,13,US,55,400,325
